Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.037205145,0.000278802,6.09E-05,225748.0781,0.038713571
1,1,2,0.00075,0.033316992,0.001708889,7.74E-05,119633.1094,0.066704445
1,1,3,0.00125,0.030540109,0.00397813,8.70E-05,97536.82031,0.174799368
1,1,4,0.00175,0.02895279,0.006616534,0.000109663,82010.76563,0.366580367
1,1,5,0.00225,0.027226316,0.009347085,0.000137964,69936.67188,0.5341959
1,1,6,0.00275,0.024901962,0.01178745,0.000151207,64127.25,0.619312048
1,1,7,0.00325,0.02262708,0.013729001,0.000154169,61222.54688,0.666572452
1,1,8,0.00375,0.020538298,0.015395963,0.00015174,58804.09766,0.692243457
1,1,9,0.00425,0.018557448,0.016736502,0.000147586,57134.32813,0.710565507
1,1,10,0.00475,0.01669099,0.01791206,0.000144236,55987.08984,0.730874121
1,1,11,0.00525,0.015055888,0.018958718,0.000141731,54852.5,0.750411332
1,1,12,0.00575,0.013761773,0.019825451,0.000138172,53413.45703,0.761166334
1,1,13,0.00625,0.012729487,0.020484004,0.000132175,51372.05859,0.75936991
1,1,14,0.00675,0.011968957,0.020999968,0.000128176,48482.59766,0.757315159
1,1,15,0.00725,0.011442429,0.021384936,0.000124194,44967.07031,0.747733891
1,1,16,0.00775,0.011133021,0.021687565,0.000122927,40729.11719,0.737360954
1,1,17,0.00825,0.010990604,0.021884216,0.000123086,36149.12891,0.724414527
1,1,18,0.00875,0.010978806,0.022036383,0.000126479,31335.72852,0.713938654
1,1,19,0.00925,0.011059803,0.022150477,0.000131668,26642.5,0.702575207
1,1,20,0.009750001,0.011219553,0.022207683,0.000138546,22265.23047,0.690019846
1,1,21,0.010250001,0.01143844,0.022266129,0.000147033,18298.85938,0.678298175
1,1,22,0.010750001,0.0117348,0.022260346,0.000156687,14835.45996,0.663175285
1,1,23,0.011250001,0.012078589,0.02226902,0.000168651,11875.84961,0.649035633
1,1,24,0.011750001,0.01245326,0.0223026,0.0001862,9381.719727,0.646354139
1,1,25,0.012250001,0.012909358,0.022266731,0.00020767,7348.790039,0.64340055
1,1,26,0.012750001,0.01337831,0.022214804,0.000222192,5680.100098,0.617288053
1,1,27,0.013250001,0.013881804,0.022228479,0.000251498,4347.109863,0.621711195
1,1,28,0.013750001,0.014460512,0.022280918,0.000280857,3295.439941,0.612161636
1,1,29,0.014250001,0.01507278,0.022035943,0.000315885,2491.550049,0.609963715
1,1,30,0.014750001,0.015712477,0.022174032,0.000366412,1848.089966,0.614329636
1,1,31,0.015250001,0.016342836,0.02223989,0.00041701,1375.309937,0.605762184
1,1,32,0.015750001,0.017025489,0.02207873,0.00048995,1021.5,0.617780566
1,1,33,0.016250001,0.017775586,0.022136504,0.000554566,750.8499756,0.604709327
1,1,34,0.016750001,0.018598106,0.022123277,0.00058963,548.1400146,0.549154818
1,1,35,0.017250001,0.019344246,0.022242812,0.000751206,402.8500061,0.621270776
1,1,36,0.017750001,0.020180199,0.021885019,0.00085641,297.8599854,0.603507817
1,1,37,0.018250001,0.021134807,0.021771882,0.001032857,212.7200012,0.606059134
1,1,38,0.018750001,0.022102978,0.022158321,0.00109649,152.5,0.542620897
1,1,39,0.019250001,0.022985645,0.021949621,0.001223587,111.3399963,0.54169929
1,1,40,0.019750001,0.023878804,0.021893706,0.001368072,79.40000153,0.53426069
1,1,41,0.020250001,0.024791041,0.022063073,0.001705233,57.48999786,0.575701237
1,1,42,0.020750001,0.02581317,0.022086954,0.001901554,41.54999924,0.54220134
1,1,43,0.021250001,0.026337558,0.022032915,0.002274639,30.72999954,0.541460335
1,1,44,0.021750001,0.027352611,0.021757621,0.002646282,22.43000031,0.525685608
1,1,45,0.022250001,0.028498158,0.022016978,0.003109186,15.71999931,0.496502042
1,1,46,0.022750001,0.029308081,0.02142782,0.003295546,11.36999989,0.443186075
1,1,47,0.023250001,0.028630627,0.020217177,0.004427236,7.779999733,0.478214115
1,1,48,0.023750001,0.027419444,0.019141236,0.005811093,5.339999676,0.457214028
1,1,49,0.024250001,0.025172422,0.0172904,0.009383245,3.639999867,0.440625072
